saying,reading,source,interpretation
我が命は我にあり、天にあらず,わがいのちはわれにあり、てんにあらず,古代中国の養生観より,"健康や寿命は、生まれつきだけで決まるものではありません。日々の暮らしや心がけで、大きく変えることができるのです。自分の体は、自分で守る意識が大切です。"
養生の五難を去る,ようじょうのごなんをさる,『養生論』の五難,"誘惑に流されず、感情や欲をほどよく保つこと。それが健康を育むコツです。頑張りすぎず、少しゆとりを持って日々を過ごしましょう。"
人は天を本とし、天は道を本とし、道は自然を本とする,ひとはてんをもととし、てんはどうをもととし、どうはしぜんをもととする,中医学の基本理念,"自然と調和した暮らしこそ、心と体を整える秘訣です。季節の流れに身をゆだね、太陽のリズムに合わせて過ごしてみませんか？"
起居に常有り・順応四時,ききょにつねあり・じゅんのうしじ,中医学の四時養生論,"毎日同じ時間に寝起きし、四季の変化に合わせて暮らすことが健康の土台です。春は伸びやかに、冬はゆったりと、自然と一緒に生きましょう。"
傷むる莫れ、強いる莫れ,いたむるなかれ、しいるなかれ,中庸を重んじる養生論,"無理は禁物。がんばりすぎず、ちょっと手前でやめておくくらいがちょうどいいんです。心と体にやさしく向き合いましょう。"
但欲小労,ただしょうろうをほっす,『養性延命録』などの運動養生観,"毎日、少しだけ体を動かす。それだけでも十分な養生です。歩く、伸ばす、ちょっと汗をかく――それが元気のもとです。"
未病先防,みびょうせんぼう,『黄帝内経』の重要概念,"病気になる前に、気づいて整える。これが一番の健康法です。小さな不調に耳をすませて、早めのケアを心がけましょう。"
津唾を惜しむ,しんだをおしむ,古代中国の唾液養生法,"唾液は、体の中で働く大切な水。飲み込むことで体が潤い、元気の源になります。体の自然なはたらきを大切にしましょう。"
防損目,ぼうそんもく,中医学の「目を養う」養生,"目を酷使しすぎないよう、ほどよく休ませましょう。スマホやパソコンの合間に、遠くを見て、深呼吸してリセットを。"
養神を本とする・足るを知れば常に楽し,ようしんをもととする・たるをしればつねにたのし,精神の養生・老子の思想,"心が静かで満ちていれば、体も元気になります。欲を追いすぎず、「今の幸せ」に目を向ける時間を持ちましょう。"
